id_vụ,year,yield_class,yield_class_encoded,pat_013__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_024__stage_1_Mát-Khô__stage_3_Mát-Khô,pat_018__stage_1_Mát-Khô__stage_2_Mát-Khô__stage_3_Mát-Khô,pat_023__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_4_Mát-Khô,pat_005__stage_2_Mát-Khô__stage_3_Mát-Khô__stage_5_Mát-Khô,pat_016__stage_3_Vừa-Khô,pat_011__stage_1_Mát-Khô__stage_2_Mát-Khô,pat_009__stage_2_Mát-Khô__stage_4_Mát-Khô,pat_020__stage_2_Mát-Khô__stage_5_Mát-Khô,pat_014__stage_2_Mát-Vừa,pat_001__stage_2_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_030__stage_1_Mát-Khô,pat_010__stage_4_Vừa-Vừa__stage_5_Vừa-Vừa,pat_019__stage_5_Mát-Vừa,stage_4_avg_temp,pat_021__stage_3_Mát-Khô__stage_4_Mát-Khô,pat_029__stage_3_Vừa-Vừa__stage_4_Vừa-Vừa,pat_028__stage_3_Vừa-Vừa__stage_5_Vừa-Vừa,pat_006__stage_2_Vừa-Ướt__stage_5_Vừa-Vừa,stage_3_avg_et0,pat_012__stage_1_Mát-Vừa,pat_022__stage_2_Vừa-Vừa__stage_5_Vừa-Vừa,pat_002__stage_3_Mát-Khô__stage_4_Mát-Khô__stage_5_Mát-Khô,pat_007__stage_3_Mát-Khô__stage_5_Mát-Khô,stage_3_avg_temp,pat_025__stage_4_Mát-Ướt,pat_000__stage_1_Mát-Vừa__stage_4_Mát-Khô,stage_5_avg_et0,stage_2_total_precip,stage_1_avg_temp,pat_017__stage_4_Mát-Khô__stage_5_Vừa-Khô,pat_003__stage_1_Mát-Vừa__stage_3_Mát-Khô,stage_5_total_precip,pat_008__stage_3_Mát-Vừa,stage_1_count_heat_days,stage_1_avg_et0,stage_4_total_precip,pat_015__stage_4_Mát-Khô__stage_5_Mát-Khô,stage_3_count_heat_days,pat_026__stage_5_Mát-Khô
Long An_1995_winter_spring,1995,Low,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.43908338546753,0,0,0,0,4.36910400390625,0,0,0,0,26.674082692464193,0,0,5.1763694381713865,27.899999983608723,27.20436059860956,0,0,0.7000000178813934,0,0.0,4.051189309074765,22.299999043345455,0,0.0,0
Tien Giang_1995_winter_spring,1995,Medium,2,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.91870861053467,1,0,0,0,4.252577416102091,0,0,1,1,25.870304743448894,0,0,5.039116516113281,38.69999973475933,26.769034976050968,0,0,0.9000000208616257,0,0.0,4.005243834995088,11.90000019222498,1,0.0,1
Tien Giang_1995_summer_autumn,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.98985357284546,0,0,0,0,4.317402362823486,0,0,0,0,27.988776652018228,0,0,3.644486894607544,82.00000075995922,29.154848007928756,0,0,197.49999737739563,0,0.0,5.5317510196140836,214.79999923706055,0,0.0,0
Tien Giang_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.358498954772948,0,1,0,0,3.67579820950826,0,0,0,0,26.576276779174805,0,0,3.430181107521057,239.4999982714653,28.585503078642347,0,0,307.9999920129776,0,0.0,4.640637636184692,146.89999997615814,0,0.0,0
Bac Lieu_1995_main_season,1995,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.645395374298097,0,1,0,0,3.892465416590373,0,0,0,0,26.94799830118815,0,0,3.422643585205078,182.59999890625477,28.658970605759393,0,0,249.20000088214871,0,0.0,4.7202239717756,186.0000038146973,0,0.0,0
Bac Lieu_1995_summer_autumn,1995,Low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39622802734375,0,0,0,0,4.430950816472372,0,0,0,0,28.296192932128907,0,0,3.732388677597046,62.799999728798866,28.91641108194987,0,0,225.59999918937683,0,0.0,5.748090698605492,166.09999668598175,0,0.0,0
Ben Tre_1995_winter_spring,1995,Low,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,25.790019989013672,1,0,0,0,4.154909722010294,0,0,1,1,25.720331954956055,0,0,4.90453685760498,38.69999973475933,26.664281481788272,0,0,0.9000000208616257,0,0.0,3.925649438585554,11.90000019222498,1,0.0,1
Ben Tre_1995_summer_autumn,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.020540142059325,0,0,0,0,4.313544511795044,0,0,0,0,28.04658292134603,0,0,3.6347737216949465,82.00000075995922,29.013984044392902,0,0,197.49999737739563,0,0.0,5.4214710508074075,214.79999923706055,0,0.0,0
Ben Tre_1995_main_season,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.410853576660156,0,1,0,0,3.6675300121307375,0,0,0,0,26.666305033365884,0,0,3.420892992019654,239.4999982714653,28.625094913301012,0,0,307.9999920129776,0,0.0,4.630853380475726,146.89999997615814,0,0.0,0
Soc Trang_1995_main_season,1995,Medium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.331582927703856,0,1,0,0,3.8305862744649257,0,0,0,0,26.651862589518228,0,0,3.401596121788025,194.3000035583973,28.608369282313756,0,0,244.80000495910645,0,0.0,4.6322560878027055,147.8999969959259,0,0.0,0
